month,sell_date,expiry,spot,settle,eth_move,prev_move,prev_low,prev_high,iv,side,strike,premium_pct,size_eth,notional,size_x,premium,payoff,option_pnl,hedge_fills,hedge_pnl,pnl,cum_pnl,deficit_after,worst_intramonth_loss
2024-01,2023-12-29,2024-01-26,2344.9000,2201.4400,-0.0612,0.1308,1986.1000,2451.6500,0.6229,PUT,2350,0.0699,4.2646,10000.0000,1.0000,689.0519,634.9534,54.0985,0,0.0000,54.0985,5470.6325,0.0000,833.5074
2024-02,2024-01-26,2024-02-23,2201.4400,2933.2600,0.3324,-0.0612,2034.8000,2719.1500,0.4098,CALL,2200,0.0456,4.5425,10000.0000,1.0000,448.0841,3332.8185,-2884.7343,1,853.3724,-2031.3619,3439.2706,2031.3619,2016.9062
2024-03,2024-02-23,2024-03-29,2933.2600,3535.7200,0.2054,0.3324,2195.1000,3037.9000,0.5539,PUT,2900,0.0624,14.6687,43027.1159,4.3027,2646.4208,0.0000,2646.4208,0,0.0000,2646.4208,6085.6913,0.0000,382.5092
2024-04,2024-03-29,2024-04-26,3535.7200,3137.4600,-0.1126,0.2054,2906.1500,4097.0000,0.7352,PUT,3550,0.0833,2.8283,10000.0000,1.0000,821.6187,1168.1090,-346.4903,0,0.0000,-346.4903,5739.2010,346.4903,1331.9042
2024-05,2024-04-26,2024-05-31,3137.4600,3731.9700,0.1895,-0.1126,2801.0000,3730.0000,0.6048,CALL,3100,0.0803,4.5819,14375.6574,1.4376,1138.3491,2898.2144,-1759.8653,1,-109.4971,-1869.3624,3869.8386,2215.8527,1908.0039
2024-06,2024-05-31,2024-06-28,3731.9700,3433.0100,-0.0801,0.1895,2813.4500,3980.5500,0.6224,PUT,3700,0.0642,10.5987,39553.9362,3.9554,2501.8881,2835.1980,-333.3099,0,0.0000,-333.3099,3536.5288,2549.1626,2548.7388
2024-07,2024-06-28,2024-07-26,3433.0100,3256.9800,-0.0513,-0.0801,3225.0000,3889.8000,0.5765,CALL,3400,0.0682,4.3563,14955.3737,1.4955,1005.9330,0.0000,1005.9330,0,0.0000,1005.9330,4542.4617,1543.2296,206.1756
2024-08,2024-07-26,2024-08-30,3256.9800,2523.9200,-0.2251,-0.0513,2803.4500,3565.4500,0.6313,CALL,3300,0.0720,3.0703,10000.0000,1.0000,709.3141,0.0000,709.3141,0,0.0000,709.3141,5251.7758,833.9155,200.7405
2024-09,2024-08-30,2024-09-27,2523.9200,2660.1900,0.0540,-0.2251,2017.7500,3397.1000,0.5991,CALL,2500,0.0707,3.9621,10000.0000,1.0000,696.4856,636.2683,60.2173,0,0.0000,60.2173,5311.9931,773.6982,140.9763
2024-10,2024-09-27,2024-10-25,2660.1900,2474.2900,-0.0699,0.0540,2149.3500,2704.0500,0.5614,PUT,2700,0.0702,3.7591,10000.0000,1.0000,691.9233,849.8684,-157.9451,0,0.0000,-157.9451,5154.0480,931.6434,898.4245
2024-11,2024-10-25,2024-11-29,2474.2900,3548.8700,0.4343,-0.0699,2309.5500,2769.4500,0.5960,CALL,2500,0.0688,4.9826,12328.2812,1.2328,836.3217,5228.7028,-4392.3810,1,3632.5128,-759.8682,4394.1797,1691.5116,888.3204
2024-12,2024-11-29,2024-12-27,3548.8700,3334.3200,-0.0605,0.4343,2355.6000,3691.1500,0.6788,PUT,3500,0.0677,6.0271,21389.3566,2.1389,1427.0422,1001.5826,425.4596,0,0.0000,425.4596,4819.6393,1266.0520,1129.1986
2025-01,2024-12-27,2025-01-31,3334.3200,3251.2400,-0.0249,-0.0605,3097.3000,4111.0000,0.7050,CALL,3300,0.0917,2.9991,10000.0000,1.0000,905.0578,0.0000,905.0578,0,0.0000,905.0578,5724.6971,360.9942,707.9415
2025-02,2025-01-31,2025-02-28,3251.2400,2102.3600,-0.3534,-0.0249,2911.7000,3746.6000,0.6214,CALL,3300,0.0619,3.0757,10000.0000,1.0000,609.3163,0.0000,609.3163,0,0.0000,609.3163,6334.0134,0.0000,354.8546
2025-03,2025-02-28,2025-03-28,2102.3600,1910.3100,-0.0913,-0.3534,2065.7000,3439.2000,0.7227,CALL,2100,0.0802,4.7566,10000.0000,1.0000,791.3157,0.0000,791.3157,0,0.0000,791.3157,7125.3292,0.0000,1489.5085
2025-04,2025-03-28,2025-04-25,1910.3100,1773.7000,-0.0715,-0.0913,1752.1500,2549.9000,0.6271,CALL,1900,0.0717,5.2348,10000.0000,1.0000,707.3210,0.0000,707.3210,0,0.0000,707.3210,7832.6502,0.0000,118.3278
2025-05,2025-04-25,2025-05-30,1773.7000,2626.7200,0.4809,-0.0715,1383.2000,1957.0000,0.6709,CALL,1800,0.0761,5.6379,10000.0000,1.0000,750.8481,4663.2125,-3912.3644,1,3743.0301,-169.3343,7663.3159,169.3343,484.4447
2025-06,2025-05-30,2025-06-27,2626.7200,2441.9800,-0.0703,0.4809,1729.1000,2789.9500,0.6935,PUT,2600,0.0711,4.7262,12414.3441,1.2414,870.7021,748.5617,122.1404,0,0.0000,122.1404,7785.4563,47.1939,1434.4887
2025-07,2025-06-27,2025-07-25,2441.9800,3619.6600,0.4823,-0.0703,2112.6500,2881.0000,0.6425,CALL,2400,0.0792,4.0950,10000.0000,1.0000,781.3130,4996.7770,-4215.4640,1,2959.2119,-1256.2521,6529.2042,1303.4460,1278.7248
2025-08,2025-07-25,2025-08-29,3619.6600,4389.2600,0.2126,0.4823,2373.4000,3862.2000,0.6623,PUT,3600,0.0788,7.2303,26171.1049,2.6171,2033.1019,0.0000,2033.1019,0,0.0000,2033.1019,8562.3062,0.0000,866.4817
2025-09,2025-08-29,2025-09-26,4389.2600,3920.8700,-0.1067,0.2126,3351.6000,4957.0500,0.6937,PUT,4400,0.0779,2.2783,10000.0000,1.0000,767.8279,1092.9362,-325.1083,0,0.0000,-325.1083,8237.1979,325.1083,552.2123
2025-10,2025-09-26,2025-10-31,3920.8700,3829.7900,-0.0232,-0.1067,3820.6000,4767.8500,0.6162,CALL,3900,0.0785,3.6216,14199.7156,1.4200,1099.2281,0.0000,1099.2281,0,0.0000,1099.2281,9336.4260,0.0000,2144.4234
2025-11,2025-10-31,2025-11-28,3829.7900,3009.8600,-0.2141,-0.0232,3379.5000,4759.9000,0.6599,CALL,3800,0.0765,2.6111,10000.0000,1.0000,754.2149,0.0000,754.2149,0,0.0000,754.2149,10090.6408,0.0000,140.6083
2025-12,2025-11-28,2025-12-26,3009.8600,2965.1600,-0.0149,-0.2141,2618.5000,3918.1500,0.6809,CALL,3000,0.0767,3.3224,10000.0000,1.0000,755.8441,0.0000,755.8441,0,0.0000,755.8441,10846.4850,0.0000,873.4777
2026-01,2025-12-26,2026-01-30,2965.1600,2731.3100,-0.0789,-0.0149,2718.6500,3448.8000,0.6078,CALL,3000,0.0697,3.3725,10000.0000,1.0000,686.8871,0.0000,686.8871,0,0.0000,686.8871,11533.3720,0.0000,775.8007
2026-02,2026-01-30,2026-02-27,2731.3100,2028.8000,-0.2572,-0.0789,2678.3000,3405.9000,0.5669,CALL,2700,0.0681,3.6612,10000.0000,1.0000,671.3451,0.0000,671.3451,0,0.0000,671.3451,12204.7171,0.0000,106.5189
2026-03,2026-02-27,2026-03-27,2028.8000,2066.8900,0.0188,-0.2572,1734.0000,2764.8000,0.6597,CALL,2050,0.0681,4.9290,10000.0000,1.0000,670.9071,84.7793,586.1277,0,0.0000,586.1277,12790.8449,0.0000,1067.7986
2026-04,2026-03-27,2026-04-24,2066.8900,2313.8600,0.1195,0.0188,1834.7000,2386.6000,0.7018,PUT,2050,0.0731,4.8382,10000.0000,1.0000,720.5888,0.0000,720.5888,0,0.0000,720.5888,13511.4337,0.0000,346.4797
2026-05,2026-04-24,2026-05-29,2313.8600,2004.0300,-0.1339,0.1195,1935.7000,2465.7500,0.5980,PUT,2300,0.0706,4.3218,10000.0000,1.0000,695.9262,1280.4172,-584.4910,0,0.0000,-584.4910,12926.9427,584.4910,754.0319
2026-06,2026-05-29,2026-06-26,2004.0300,1579.7000,-0.2117,-0.1339,1964.5000,2424.3500,0.4569,CALL,2000,0.0514,10.7547,21552.7952,2.1553,1090.4214,0.0000,1090.4214,0,0.0000,1090.4214,14017.3640,0.0000,332.2218
2026-07,2026-06-26,2026-07-31,1579.7000,1886.9700,0.1945,-0.2117,1503.8500,2043.9000,0.5806,CALL,1600,0.0658,6.3303,10000.0000,1.0000,648.8694,1818.4025,-1169.5331,0,0.0000,-1169.5331,12847.8310,1169.5331,1756.6562
2026-08,2026-07-31,2026-08-28,1886.9700,2496.7500,0.3232,0.1945,1518.4000,1980.0000,0.4736,PUT,1900,0.0560,16.5402,31210.9324,3.1211,1720.9153,0.0000,1720.9153,0,0.0000,1720.9153,14568.7462,0.0000,702.7424
2026-09,2026-08-28,2026-09-25,2496.7500,2671.4100,0.0700,0.3232,1820.2500,2567.1000,0.5161,PUT,2500,0.0577,4.0052,10000.0000,1.0000,567.8610,0.0000,567.8610,0,0.0000,567.8610,15136.6073,0.0000,273.3646
